#Sentence,sentence,Ent1,Ent2,URI_1,URI_2,has_relation,relation
1614,As estruturas [E1] dobradas s [/E1]ão quase paralelas   costa (essencialmente de direção leste - oeste) e ocorrem somente    oeste    extensão    oceano    importante alinhamento [E2] pré-cambriano [/E2] de Sobral..,ESTRUTURA_FÍSICA,UNIDADE_CRONO,#geological_structure,#Cambrian,False,no_relation
1614,As estruturas [E2] dobradas s [/E2]ão quase paralelas   costa (essencialmente de direção leste - oeste) e ocorrem somente    oeste    extensão    oceano    importante alinhamento [E1] pré-cambriano [/E1] de Sobral..,UNIDADE_CRONO,ESTRUTURA_FÍSICA,#Cambrian,#geological_structure,False,no_relation
1615,"A extensão oceânica       alinhamento também marca o limite de duas diferentes arqui-teturas de bacia:    l[E1] ado o [/E1]este, o [E2] embasamento [/E2] é profundo e mergulha em direção    continente;    leste, o embasamento é raso e mergulha em direção    oceano..",BACIA,UNIDADE_LITO,#basin,#SD_000,False,no_relation
1615,"A extensão oceânica       alinhamento também marca o limite de duas diferentes arqui-teturas de bacia:    l[E1] ado o [/E1]este, o embasamento é profundo e mergulha em direção    continente;    leste, o [E2] embasamento [/E2] é raso e mergulha em direção    oceano..",BACIA,UNIDADE_LITO,#basin,#SD_000,False,no_relation
1615,"A extensão oceânica       alinhamento também marca o limite de duas diferentes arqui-teturas de bacia:    l[E2] ado o [/E2]este, o [E1] embasamento [/E1] é profundo e mergulha em direção    continente;    leste, o embasamento é raso e mergulha em direção    oceano..",UNIDADE_LITO,BACIA,#SD_000,#basin,False,no_relation
1615,"A extensão oceânica       alinhamento também marca o limite de duas diferentes arqui-teturas de bacia:    lado oeste, o [E1] embasamento [/E1] é profundo e mergulha em direção    continente;    leste, o [E2] embasamento [/E2] é raso e mergulha em direção    oceano..",UNIDADE_LITO,UNIDADE_LITO,#SD_000,#SD_000,False,no_relation
1615,"A extensão oceânica       alinhamento também marca o limite de duas diferentes arqui-teturas de bacia:    l[E2] ado o [/E2]este, o embasamento é profundo e mergulha em direção    continente;    leste, o [E1] embasamento [/E1] é raso e mergulha em direção    oceano..",UNIDADE_LITO,BACIA,#SD_000,#basin,False,no_relation
1615,"A extensão oceânica       alinhamento também marca o limite de duas diferentes arqui-teturas de bacia:    lado oeste, o [E2] embasamento [/E2] é profundo e mergulha em direção    continente;    leste, o [E1] embasamento [/E1] é raso e mergulha em direção    oceano..",UNIDADE_LITO,UNIDADE_LITO,#SD_000,#SD_000,False,no_relation
1616,Dados mais recentes de poços perfu[E1] rados [/E1]    plataforma continental e de levantamentos de reflexão sísmica permitiram que Ojeda et al. (em elaboração) melhorasse o contorno     [E2] estruturas [/E2] anticlinais..,POÇO,ESTRUTURA_FÍSICA,#well,#geological_structure,False,no_relation
1616,Dados mais recentes de poços perfu[E2] rados [/E2]    plataforma continental e de levantamentos de reflexão sísmica permitiram que Ojeda et al. (em elaboração) melhorasse o contorno     [E1] estruturas [/E1] anticlinais..,ESTRUTURA_FÍSICA,POÇO,#geological_structure,#well,False,no_relation
1618,"[E1] estrutura [/E1] são reconhecidos elementos de compressão, tais como [E2] falhas [/E2] reversas e dobras..",ESTRUTURA_FÍSICA,ESTRUTURA_FÍSICA,#geological_structure,#TEFR_CD_TIPO_EST_FISICA_ROCHA_058,False,no_relation
1618,"[E1] estrutura [/E1] são reconhecidos elementos de compressão, tais como falhas reversas e [E2] dobras [/E2]..",ESTRUTURA_FÍSICA,ESTRUTURA_FÍSICA,#geological_structure,#TEFR_CD_TIPO_EST_FISICA_ROCHA_055,False,no_relation
1618,"[E2] estrutura [/E2] são reconhecidos elementos de compressão, tais como [E1] falhas [/E1] reversas e dobras..",ESTRUTURA_FÍSICA,ESTRUTURA_FÍSICA,#TEFR_CD_TIPO_EST_FISICA_ROCHA_058,#geological_structure,False,no_relation
1618,"estrutura são reconhecidos elementos de compressão, tais como [E1] falhas [/E1] reversas e [E2] dobras [/E2]..",ESTRUTURA_FÍSICA,ESTRUTURA_FÍSICA,#TEFR_CD_TIPO_EST_FISICA_ROCHA_058,#TEFR_CD_TIPO_EST_FISICA_ROCHA_055,False,no_relation
1618,"[E2] estrutura [/E2] são reconhecidos elementos de compressão, tais como falhas reversas e [E1] dobras [/E1]..",ESTRUTURA_FÍSICA,ESTRUTURA_FÍSICA,#TEFR_CD_TIPO_EST_FISICA_ROCHA_055,#geological_structure,False,no_relation
1618,"estrutura são reconhecidos elementos de compressão, tais como [E2] falhas [/E2] reversas e [E1] dobras [/E1]..",ESTRUTURA_FÍSICA,ESTRUTURA_FÍSICA,#TEFR_CD_TIPO_EST_FISICA_ROCHA_055,#TEFR_CD_TIPO_EST_FISICA_ROCHA_058,False,no_relation
1619,"Com base em                  estruturais - estratigráficos, Ojeda concluiu que essas dobras     [E1]        [/E1]  desde o [E2] Cretáceo Inicial [/E2] até o Albiano e, localmente, é possível, até o Turoniano (Figura 11.1)..",ESTRUTURA_FÍSICA,UNIDADE_CRONO,#TEFR_CD_TIPO_EST_FISICA_ROCHA_055,#LowerCretaceous,False,no_relation
1619,"Com base em                  estruturais - estratigráficos, Ojeda concluiu que essas dobras     [E1]        [/E1]  desde o Cretáceo Inicial até o [E2] Albiano [/E2] e, localmente, é possível, até o Turoniano (Figura 11.1)..",ESTRUTURA_FÍSICA,UNIDADE_CRONO,#TEFR_CD_TIPO_EST_FISICA_ROCHA_055,#Albian,False,no_relation
1619,"Com base em                  estruturais - estratigráficos, Ojeda concluiu que essas dobras     [E1]        [/E1]  desde o Cretáceo Inicial até o Albiano e, localmente, é possível, até o [E2] Turoniano [/E2] (Figura 11.1)..",ESTRUTURA_FÍSICA,UNIDADE_CRONO,#TEFR_CD_TIPO_EST_FISICA_ROCHA_055,#Turonian,False,no_relation
1619,"Com base em                  estruturais - estratigráficos, Ojeda concluiu que essas dobras     [E2]        [/E2]  desde o [E1] Cretáceo Inicial [/E1] até o Albiano e, localmente, é possível, até o Turoniano (Figura 11.1)..",UNIDADE_CRONO,ESTRUTURA_FÍSICA,#LowerCretaceous,#TEFR_CD_TIPO_EST_FISICA_ROCHA_055,False,no_relation
1619,"Com base em                  estruturais - estratigráficos, Ojeda concluiu que essas dobras             desde o [E1] Cretáceo Inicial [/E1] até o [E2] Albiano [/E2] e, localmente, é possível, até o Turoniano (Figura 11.1)..",UNIDADE_CRONO,UNIDADE_CRONO,#LowerCretaceous,#Albian,True,temporal_relation
1619,"Com base em                  estruturais - estratigráficos, Ojeda concluiu que essas dobras             desde o [E1] Cretáceo Inicial [/E1] até o Albiano e, localmente, é possível, até o [E2] Turoniano [/E2] (Figura 11.1)..",UNIDADE_CRONO,UNIDADE_CRONO,#LowerCretaceous,#Turonian,False,no_relation
1619,"Com base em                  estruturais - estratigráficos, Ojeda concluiu que essas dobras     [E2]        [/E2]  desde o Cretáceo Inicial até o [E1] Albiano [/E1] e, localmente, é possível, até o Turoniano (Figura 11.1)..",UNIDADE_CRONO,ESTRUTURA_FÍSICA,#Albian,#TEFR_CD_TIPO_EST_FISICA_ROCHA_055,False,no_relation
1619,"Com base em                  estruturais - estratigráficos, Ojeda concluiu que essas dobras             desde o [E2] Cretáceo Inicial [/E2] até o [E1] Albiano [/E1] e, localmente, é possível, até o Turoniano (Figura 11.1)..",UNIDADE_CRONO,UNIDADE_CRONO,#Albian,#LowerCretaceous,True,temporal_relation
1619,"Com base em                  estruturais - estratigráficos, Ojeda concluiu que essas dobras             desde o Cretáceo Inicial até o [E1] Albiano [/E1] e, localmente, é possível, até o [E2] Turoniano [/E2] (Figura 11.1)..",UNIDADE_CRONO,UNIDADE_CRONO,#Albian,#Turonian,False,no_relation
1619,"Com base em                  estruturais - estratigráficos, Ojeda concluiu que essas dobras     [E2]        [/E2]  desde o Cretáceo Inicial até o Albiano e, localmente, é possível, até o [E1] Turoniano [/E1] (Figura 11.1)..",UNIDADE_CRONO,ESTRUTURA_FÍSICA,#Turonian,#TEFR_CD_TIPO_EST_FISICA_ROCHA_055,False,no_relation
1619,"Com base em                  estruturais - estratigráficos, Ojeda concluiu que essas dobras             desde o [E2] Cretáceo Inicial [/E2] até o Albiano e, localmente, é possível, até o [E1] Turoniano [/E1] (Figura 11.1)..",UNIDADE_CRONO,UNIDADE_CRONO,#Turonian,#LowerCretaceous,False,no_relation
1619,"Com base em                  estruturais - estratigráficos, Ojeda concluiu que essas dobras             desde o Cretáceo Inicial até o [E2] Albiano [/E2] e, localmente, é possível, até o [E1] Turoniano [/E1] (Figura 11.1)..",UNIDADE_CRONO,UNIDADE_CRONO,#Turonian,#Albian,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo In[E1] icial relacionad [/E1]a com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    [E2] bacia [/E2] interior    Maranhão, com as intrusões    bacia interior    Amazonas, e com os diques, de 130 m..",UNIDADE_CRONO,BACIA,#LowerCretaceous,#basin,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo In[E1] icial relacionad [/E1]a com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    bacia interior    [E2] Maranhão [/E2], com as intrusões    bacia interior    Amazonas, e com os diques, de 130 m..",UNIDADE_CRONO,BACIA,#LowerCretaceous,#BASE_CD_BACIA_076,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo In[E1] icial relacionad [/E1]a com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    bacia interior    Maranhão, com as intrusões    [E2] bacia [/E2] interior    Amazonas, e com os diques, de 130 m..",UNIDADE_CRONO,BACIA,#LowerCretaceous,#basin,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo In[E1] icial relacionad [/E1]a com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    bacia interior    Maranhão, com as intrusões    bacia interior    [E2] Amazonas [/E2], e com os diques, de 130 m..",UNIDADE_CRONO,BACIA,#LowerCretaceous,#BASE_CD_BACIA_030,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo In[E2] icial relacionad [/E2]a com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    [E1] bacia [/E1] interior    Maranhão, com as intrusões    bacia interior    Amazonas, e com os diques, de 130 m..",BACIA,UNIDADE_CRONO,#basin,#LowerCretaceous,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo Inicial relacionada com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    [E1] bacia [/E1] interior    [E2] Maranhão [/E2], com as intrusões    bacia interior    Amazonas, e com os diques, de 130 m..",BACIA,BACIA,#basin,#BASE_CD_BACIA_076,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo Inicial relacionada com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    [E1] bacia [/E1] interior    Maranhão, com as intrusões    [E2] bacia [/E2] interior    Amazonas, e com os diques, de 130 m..",BACIA,BACIA,#basin,#basin,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo Inicial relacionada com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    [E1] bacia [/E1] interior    Maranhão, com as intrusões    bacia interior    [E2] Amazonas [/E2], e com os diques, de 130 m..",BACIA,BACIA,#basin,#BASE_CD_BACIA_030,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo In[E2] icial relacionad [/E2]a com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    bacia interior    [E1] Maranhão [/E1], com as intrusões    bacia interior    Amazonas, e com os diques, de 130 m..",BACIA,UNIDADE_CRONO,#BASE_CD_BACIA_076,#LowerCretaceous,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo Inicial relacionada com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    [E2] bacia [/E2] interior    [E1] Maranhão [/E1], com as intrusões    bacia interior    Amazonas, e com os diques, de 130 m..",BACIA,BACIA,#BASE_CD_BACIA_076,#basin,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo Inicial relacionada com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    bacia interior    [E1] Maranhão [/E1], com as intrusões    [E2] bacia [/E2] interior    Amazonas, e com os diques, de 130 m..",BACIA,BACIA,#BASE_CD_BACIA_076,#basin,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo Inicial relacionada com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    bacia interior    [E1] Maranhão [/E1], com as intrusões    bacia interior    [E2] Amazonas [/E2], e com os diques, de 130 m..",BACIA,BACIA,#BASE_CD_BACIA_076,#BASE_CD_BACIA_030,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo In[E2] icial relacionad [/E2]a com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    bacia interior    Maranhão, com as intrusões    [E1] bacia [/E1] interior    Amazonas, e com os diques, de 130 m..",BACIA,UNIDADE_CRONO,#basin,#LowerCretaceous,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo Inicial relacionada com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    [E2] bacia [/E2] interior    Maranhão, com as intrusões    [E1] bacia [/E1] interior    Amazonas, e com os diques, de 130 m..",BACIA,BACIA,#basin,#basin,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo Inicial relacionada com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    bacia interior    [E2] Maranhão [/E2], com as intrusões    [E1] bacia [/E1] interior    Amazonas, e com os diques, de 130 m..",BACIA,BACIA,#basin,#BASE_CD_BACIA_076,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo Inicial relacionada com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    bacia interior    Maranhão, com as intrusões    [E1] bacia [/E1] interior    [E2] Amazonas [/E2], e com os diques, de 130 m..",BACIA,BACIA,#basin,#BASE_CD_BACIA_030,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo In[E2] icial relacionad [/E2]a com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    bacia interior    Maranhão, com as intrusões    bacia interior    [E1] Amazonas [/E1], e com os diques, de 130 m..",BACIA,UNIDADE_CRONO,#BASE_CD_BACIA_030,#LowerCretaceous,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo Inicial relacionada com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    [E2] bacia [/E2] interior    Maranhão, com as intrusões    bacia interior    [E1] Amazonas [/E1], e com os diques, de 130 m..",BACIA,BACIA,#BASE_CD_BACIA_030,#basin,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo Inicial relacionada com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    bacia interior    [E2] Maranhão [/E2], com as intrusões    bacia interior    [E1] Amazonas [/E1], e com os diques, de 130 m..",BACIA,BACIA,#BASE_CD_BACIA_030,#BASE_CD_BACIA_076,False,no_relation
1621,"Não existem registros de uma atividade    Cretáceo Inicial relacionada com as intrusões e fluxos de lava, ocorridas a 120 - 126 m. a. A.P.,    bacia interior    Maranhão, com as intrusões    [E2] bacia [/E2] interior    [E1] Amazonas [/E1], e com os diques, de 130 m..",BACIA,BACIA,#BASE_CD_BACIA_030,#basin,False,no_relation
1624,Levantamentos geofísicos    longo    sistema de grábens    bacia    Fo[E1] z    Amazonas revela-ram [/E1] uma anomalia associada a uma zona de [E2] fratura [/E2]..,BACIA,ESTRUTURA_FÍSICA,#BASE_CD_BACIA_051,#TEFR_CD_TIPO_EST_FISICA_ROCHA_059,False,no_relation
1624,Levantamentos geofísicos    longo    sistema de grábens    bacia    Fo[E2] z    Amazonas revela-ram [/E2] uma anomalia associada a uma zona de [E1] fratura [/E1]..,ESTRUTURA_FÍSICA,BACIA,#TEFR_CD_TIPO_EST_FISICA_ROCHA_059,#BASE_CD_BACIA_051,False,no_relation
1625,Rezende e Ferradaes (1971) interpretaram essa anomalia como um efeito intra-embasamento de rochas basá[E1] lticas toleíticas [/E1] relacionadas   atividade tectônica e magmática    [E2] Cretáceo Inicial [/E2]..,ROCHA,UNIDADE_CRONO,#basaltic_rock,#LowerCretaceous,False,no_relation
1625,Rezende e Ferradaes (1971) interpretaram essa anomalia como um efeito intra-embasamento de rochas basá[E2] lticas toleíticas [/E2] relacionadas   atividade tectônica e magmática    [E1] Cretáceo Inicial [/E1]..,UNIDADE_CRONO,ROCHA,#LowerCretaceous,#basaltic_rock,False,no_relation
1627,"A ocorrência conhecida       alto       abaixo     porções inferior e média    [E1] bacia [/E1] [E2] paleozóica [/E2]    Amazonas, associada a uma atividade mais antiga (450 m. a. A.P.) a qual, segundo Asmus e Porto (1972), criou as condições iniciais para a formação    bacia amazônica..",BACIA,UNIDADE_CRONO,#basin,#Paleozoic,False,no_relation
1627,"A ocorrência conhecida       alto       abaixo     porções inferior e média    [E1] bacia [/E1] paleozóica    [E2] Amazonas [/E2], associada a uma atividade mais antiga (450 m. a. A.P.) a qual, segundo Asmus e Porto (1972), criou as condições iniciais para a formação    bacia amazônica..",BACIA,BACIA,#basin,#BASE_CD_BACIA_030,False,no_relation
1627,"A ocorrência conhecida       alto       abaixo     porções inferior e média    bacia paleo[E1] zóica [/E1]    Amazonas, associada a uma atividade mais antiga (450 m. a. A.P.) a qual, segundo Asmus e Porto (1972), criou as condições iniciais para a formação    [E2] bacia [/E2] amazônica..",BACIA,BACIA,#basin,#basin,False,no_relation
1627,"A ocorrência conhecida       alto       abaixo     porções inferior e média    [E2] bacia [/E2] [E1] paleozóica [/E1]    Amazonas, associada a uma atividade mais antiga (450 m. a. A.P.) a qual, segundo Asmus e Porto (1972), criou as condições iniciais para a formação    bacia amazônica..",UNIDADE_CRONO,BACIA,#Paleozoic,#basin,False,no_relation
1627,"A ocorrência conhecida       alto       abaixo     porções inferior e média    bacia [E1] paleozóica [/E1]    [E2] Amazonas [/E2], associada a uma atividade mais antiga (450 m. a. A.P.) a qual, segundo Asmus e Porto (1972), criou as condições iniciais para a formação    bacia amazônica..",UNIDADE_CRONO,BACIA,#Paleozoic,#BASE_CD_BACIA_030,False,no_relation
1627,"A ocorrência conhecida       alto       abaixo     porções inferior e média    bacia paleozóica [E1]    Amazona [/E1]s, associada a uma atividade mais antiga (450 m. a. A.P.) a qual, segundo Asmus e Porto (1972), criou as condições iniciais para a formação    [E2] bacia [/E2] amazônica..",UNIDADE_CRONO,BACIA,#Paleozoic,#basin,False,no_relation
1627,"A ocorrência conhecida       alto       abaixo     porções inferior e média    [E2] bacia [/E2] paleozóica    [E1] Amazonas [/E1], associada a uma atividade mais antiga (450 m. a. A.P.) a qual, segundo Asmus e Porto (1972), criou as condições iniciais para a formação    bacia amazônica..",BACIA,BACIA,#BASE_CD_BACIA_030,#basin,False,no_relation
1627,"A ocorrência conhecida       alto       abaixo     porções inferior e média    bacia [E2] paleozóica [/E2]    [E1] Amazonas [/E1], associada a uma atividade mais antiga (450 m. a. A.P.) a qual, segundo Asmus e Porto (1972), criou as condições iniciais para a formação    bacia amazônica..",BACIA,UNIDADE_CRONO,#BASE_CD_BACIA_030,#Paleozoic,False,no_relation
1627,"A ocorrência conhecida       alto       abaixo     porções inferior e média    bacia paleozóica    Amazonas, a[E1] ssociada [/E1] a uma atividade mais antiga (450 m. a. A.P.) a qual, segundo Asmus e Porto (1972), criou as condições iniciais para a formação    [E2] bacia [/E2] amazônica..",BACIA,BACIA,#BASE_CD_BACIA_030,#basin,False,no_relation
1627,"A ocorrência conhecida       alto       abaixo     porções inferior e média    bacia paleo[E2] zóica [/E2]    Amazonas, associada a uma atividade mais antiga (450 m. a. A.P.) a qual, segundo Asmus e Porto (1972), criou as condições iniciais para a formação    [E1] bacia [/E1] amazônica..",BACIA,BACIA,#basin,#basin,False,no_relation
1627,"A ocorrência conhecida       alto       abaixo     porções inferior e média    bacia paleozóica [E2]    Amazona [/E2]s, associada a uma atividade mais antiga (450 m. a. A.P.) a qual, segundo Asmus e Porto (1972), criou as condições iniciais para a formação    [E1] bacia [/E1] amazônica..",BACIA,UNIDADE_CRONO,#basin,#Paleozoic,False,no_relation
1627,"A ocorrência conhecida       alto       abaixo     porções inferior e média    bacia paleozóica    Amazonas, a[E2] ssociada [/E2] a uma atividade mais antiga (450 m. a. A.P.) a qual, segundo Asmus e Porto (1972), criou as condições iniciais para a formação    [E1] bacia [/E1] amazônica..",BACIA,BACIA,#basin,#BASE_CD_BACIA_030,False,no_relation
1630,"Além       reduzida atividade ígnea    Cretáceo In[E1] icial,    margem [/E1] norte comparativa-mente   margem sul, também o segundo período de atividade magmática ([E2] Cretáceo Tardio [/E2] a Terciário Inicial), bem representado    longo    margem leste, não foi registrado    margem continental norte..",UNIDADE_CRONO,UNIDADE_CRONO,#LowerCretaceous,#UpperCretaceous,True,temporal_relation
1630,"Além       reduzida atividade ígnea    Cretáceo In[E1] icial,    margem [/E1] norte comparativa-mente   margem sul, também o segundo período de atividade magmática (Cretáceo Tardio a [E2] Terciário Inicial [/E2]), bem representado    longo    margem leste, não foi registrado    margem continental norte..",UNIDADE_CRONO,UNIDADE_CRONO,#LowerCretaceous,"#??,#Cretaceous",False,no_relation
1630,"Além       reduzida atividade ígnea    Cretáceo In[E2] icial,    margem [/E2] norte comparativa-mente   margem sul, também o segundo período de atividade magmática ([E1] Cretáceo Tardio [/E1] a Terciário Inicial), bem representado    longo    margem leste, não foi registrado    margem continental norte..",UNIDADE_CRONO,UNIDADE_CRONO,#UpperCretaceous,#LowerCretaceous,True,temporal_relation
1630,"Além       reduzida atividade ígnea    Cretáceo Inicial,    margem norte comparativa-mente   margem sul, também o segundo período de atividade magmática ([E1] Cretáceo Tardio [/E1] a [E2] Terciário Inicial [/E2]), bem representado    longo    margem leste, não foi registrado    margem continental norte..",UNIDADE_CRONO,UNIDADE_CRONO,#UpperCretaceous,"#??,#Cretaceous",False,no_relation
1630,"Além       reduzida atividade ígnea    Cretáceo In[E2] icial,    margem [/E2] norte comparativa-mente   margem sul, também o segundo período de atividade magmática (Cretáceo Tardio a [E1] Terciário Inicial [/E1]), bem representado    longo    margem leste, não foi registrado    margem continental norte..",UNIDADE_CRONO,UNIDADE_CRONO,"#??,#Cretaceous",#LowerCretaceous,False,no_relation
1630,"Além       reduzida atividade ígnea    Cretáceo Inicial,    margem norte comparativa-mente   margem sul, também o segundo período de atividade magmática ([E2] Cretáceo Tardio [/E2] a [E1] Terciário Inicial [/E1]), bem representado    longo    margem leste, não foi registrado    margem continental norte..",UNIDADE_CRONO,UNIDADE_CRONO,"#??,#Cretaceous",#UpperCretaceous,False,no_relation
1631,"Os produtos de um vulcanismo mais recente ([E1] Paleógeno [/E1] / [E2] Neógeno [/E2] e Neógeno) ocorrem    área continental emersa (fonólitos de Mecejana, 30 m. a. A.P.; basaltos de Cabugi, 20 m. a. A.P.) e    ilha oceânica de Fernando de Noronha (2 - 12 m. a. A.P.) (Figura 9)..",UNIDADE_CRONO,UNIDADE_CRONO,#Paleogene,#Neogene,True,temporal_relation
1631,"Os produtos de um vulcanismo mais recente ([E1] Paleógeno [/E1] / Neógeno e [E2] Neógeno [/E2]) ocorrem    área continental emersa (fonólitos de Mecejana, 30 m. a. A.P.; basaltos de Cabugi, 20 m. a. A.P.) e    ilha oceânica de Fernando de Noronha (2 - 12 m. a. A.P.) (Figura 9)..",UNIDADE_CRONO,UNIDADE_CRONO,#Paleogene,#Neogene,True,temporal_relation
1631,"Os produtos de um vulcanismo mais recente (Paleógeno /[E1]  Neógeno  [/E1]e Neógeno) ocorrem    área continental emersa ([E2] fonólitos [/E2] de Mecejana, 30 m. a. A.P.; basaltos de Cabugi, 20 m. a. A.P.) e    ilha oceânica de Fernando de Noronha (2 - 12 m. a. A.P.) (Figura 9)..",UNIDADE_CRONO,ROCHA,#Paleogene,#phonolite,False,no_relation
1631,"Os produtos de um vulcanismo mais recente (Paleógeno /[E1]  Neógeno  [/E1]e Neógeno) ocorrem    área continental emersa (fonólitos de Mecejana, 30 m. a. A.P.; [E2] basaltos [/E2] de Cabugi, 20 m. a. A.P.) e    ilha oceânica de Fernando de Noronha (2 - 12 m. a. A.P.) (Figura 9)..",UNIDADE_CRONO,ROCHA,#Paleogene,#basalt,False,no_relation
1631,"Os produtos de um vulcanismo mais recente ([E2] Paleógeno [/E2] / [E1] Neógeno [/E1] e Neógeno) ocorrem    área continental emersa (fonólitos de Mecejana, 30 m. a. A.P.; basaltos de Cabugi, 20 m. a. A.P.) e    ilha oceânica de Fernando de Noronha (2 - 12 m. a. A.P.) (Figura 9)..",UNIDADE_CRONO,UNIDADE_CRONO,#Neogene,#Paleogene,True,temporal_relation
1631,"Os produtos de um vulcanismo mais recente (Paleógeno / [E1] Neógeno [/E1] e [E2] Neógeno [/E2]) ocorrem    área continental emersa (fonólitos de Mecejana, 30 m. a. A.P.; basaltos de Cabugi, 20 m. a. A.P.) e    ilha oceânica de Fernando de Noronha (2 - 12 m. a. A.P.) (Figura 9)..",UNIDADE_CRONO,UNIDADE_CRONO,#Neogene,#Neogene,True,temporal_relation
1631,"Os produtos de um vulcanismo mais recente (Paleógeno / Neógeno e N[E1] eógeno) [/E1] ocorrem    área continental emersa ([E2] fonólitos [/E2] de Mecejana, 30 m. a. A.P.; basaltos de Cabugi, 20 m. a. A.P.) e    ilha oceânica de Fernando de Noronha (2 - 12 m. a. A.P.) (Figura 9)..",UNIDADE_CRONO,ROCHA,#Neogene,#phonolite,False,no_relation
1631,"Os produtos de um vulcanismo mais recente (Paleógeno / Neógeno e N[E1] eógeno) [/E1] ocorrem    área continental emersa (fonólitos de Mecejana, 30 m. a. A.P.; [E2] basaltos [/E2] de Cabugi, 20 m. a. A.P.) e    ilha oceânica de Fernando de Noronha (2 - 12 m. a. A.P.) (Figura 9)..",UNIDADE_CRONO,ROCHA,#Neogene,#basalt,False,no_relation
1631,"Os produtos de um vulcanismo mais recente ([E2] Paleógeno [/E2] / Neógeno e [E1] Neógeno [/E1]) ocorrem    área continental emersa (fonólitos de Mecejana, 30 m. a. A.P.; basaltos de Cabugi, 20 m. a. A.P.) e    ilha oceânica de Fernando de Noronha (2 - 12 m. a. A.P.) (Figura 9)..",UNIDADE_CRONO,UNIDADE_CRONO,#Neogene,#Paleogene,True,temporal_relation
1631,"Os produtos de um vulcanismo mais recente (Paleógeno / [E2] Neógeno [/E2] e [E1] Neógeno [/E1]) ocorrem    área continental emersa (fonólitos de Mecejana, 30 m. a. A.P.; basaltos de Cabugi, 20 m. a. A.P.) e    ilha oceânica de Fernando de Noronha (2 - 12 m. a. A.P.) (Figura 9)..",UNIDADE_CRONO,UNIDADE_CRONO,#Neogene,#Neogene,True,temporal_relation
1631,"Os produtos de um vulcanismo mais recente (Paleógeno / Neógeno e Neógeno) oc[E1] orrem   [/E1]  área continental emersa ([E2] fonólitos [/E2] de Mecejana, 30 m. a. A.P.; basaltos de Cabugi, 20 m. a. A.P.) e    ilha oceânica de Fernando de Noronha (2 - 12 m. a. A.P.) (Figura 9)..",UNIDADE_CRONO,ROCHA,#Neogene,#phonolite,False,no_relation
1631,"Os produtos de um vulcanismo mais recente (Paleógeno / Neógeno e Neógeno) oc[E1] orrem   [/E1]  área continental emersa (fonólitos de Mecejana, 30 m. a. A.P.; [E2] basaltos [/E2] de Cabugi, 20 m. a. A.P.) e    ilha oceânica de Fernando de Noronha (2 - 12 m. a. A.P.) (Figura 9)..",UNIDADE_CRONO,ROCHA,#Neogene,#basalt,False,no_relation
